0.006131, 0.245239, 50
0.019856, 0.274503, 50
0.042693, 0.456740, 50
0.074587, 0.637871, 50
0.115464, 0.817543, 50
0.165239, 0.995508, 50
0.223823, 1.171671, 50
0.291130, 1.346150, 50
0.367098, 1.519357, 50
0.451702, 1.692079, 50
0.544980, 1.865562, 50
0.647059, 2.041575, 50
0.758180, 2.222422, 50
0.878724, 2.410880, 50
1.009225, 2.610019, 50
1.150371, 2.822921, 50
1.302986, 3.052301, 50
1.467993, 3.300139, 50
1.646363, 3.567398, 50
1.839059, 3.853930, 50
2.046990, 4.158609, 50
2.270972, 4.479647, 50
2.511723, 4.815020, 50
2.769868, 5.162897, 50
3.045968, 5.522002, 50
3.340562, 5.891881, 50
3.654217, 6.273088, 50
3.981246, 6.540583, 50
4.309443, 6.563937, 50
4.632246, 6.456071, 50
4.949011, 6.335305, 50
5.259169, 6.203149, 50
5.562177, 6.060171, 50
5.857484, 5.906126, 50
6.144490, 5.740132, 50
6.422535, 5.560899, 50
6.690886, 5.367007, 50
6.948747, 5.157226, 50
7.195287, 4.930807, 50
7.429673, 4.687707, 50
7.651107, 4.428682, 50
7.858868, 4.155232, 50
8.052339, 3.869419, 50
8.231020, 3.573619, 50
8.394533, 3.270259, 50
8.542613, 2.961596, 50
8.675092, 2.649571, 50
8.791878, 2.335736, 50
8.892940, 2.021241, 50
8.978284, 1.706867, 50
9.047937, 1.393073, 50
9.101941, 1.080066, 50
9.140333, 0.767850, 50
9.163148, 0.456292, 50
9.170664, 0.150327, 50
9.170664, 0.000000, 50
9.170664, 0.000000, 50
